都市,エリア,タイプ,degree_centrality_mean,closeness_centrality_mean,alpha_index,avg_circuity_A,basic_self_loop_proportion,basic_circuity_avg,basic_streets_per_node_avg,basic_clean_intersection_density_km
焼津市,市全域,drive,0.00037927125057502013,0.00020887645524950767,0.27708269758925846,1.1899694396259566,0.00015707217466425823,1.0398495337320508,3.125320317266626,73.97400152812227
静岡市,市全域,drive,9.631974408314976e-05,9.19414520615013e-05,0.2262621238497886,1.2443872150772612,0.0008223308511124309,1.1340075437614512,2.90434350132626,14.929683786172944
浜松市,市全域,drive,6.426380041532482e-05,8.163126696679426e-05,0.25771053552306533,1.1943284611079024,0.0005599417660563301,1.1241102664614753,3.030299817649803,18.813394424269163
焼津市,沿岸部,drive,0.0006789618928076633,0.00022430142030076142,0.28551336146272854,1.1992762304538493,0.0002756339581036384,1.0387499090370351,3.174956747404844,67.86337314142992
静岡市,沿岸部,drive,0.00031196112295744596,8.758195840428023e-05,0.23982043834169528,1.3062822176739144,0.0005722460658082976,1.067719586106021,2.9857444561774025,31.702460677258806
浜松市,沿岸部,drive,0.0006213682592749071,0.0002103547543902834,0.2697321879737241,1.1177947079728814,0.00013138877939823938,1.0166774314141231,3.111919191919192,81.26383794213196
焼津市,内陸部,drive,0.0008330411414075572,0.000235711018742466,0.24379991593106348,1.2173458007698132,0.0,1.040765641185971,3.0610473256790813,50.52079955083384
静岡市,内陸部,drive,0.00013790737979459244,0.00012396105612106462,0.21384894259818732,1.288814835215971,0.0009493134429564333,1.1593651389962363,2.8670855485741904,11.051701701066465
浜松市,内陸部,drive,7.147560496341202e-05,8.104733949868704e-05,0.2543740153283029,1.1879022647920752,0.000612764352826572,1.1339899618090061,3.0207287027385576,17.55171922275236
焼津市,焼津駅周辺,walk,0.005042724366536667,0.0011829170148420932,0.3302822273073989,1.2298895160032384,0.0009182736455463728,1.0225653547849032,3.4376899696048633,183.34444425869572
静岡市,静岡駅周辺,walk,0.003612486879056845,0.0010394392471594024,0.30790802019068986,1.2650187771433066,0.0006939625260235947,1.0347340667434253,3.3624161073825505,185.2018189227013
浜松市,浜松駅周辺,walk,0.0017960185484990055,0.0009980271325334663,0.24736683719530544,1.2605080756485008,0.0008054772452678212,1.0580367500336278,3.066706730769231,195.12481076775123
焼津市,焼津駅周辺,drive,0.006750166829218211,0.0011156109062543536,0.3177570093457944,1.2866315858623223,0.0012674271229404308,1.0238045684450352,3.4111570247933884,181.20686235507253
静岡市,静岡駅周辺,drive,0.005583453105500055,0.0009756122018836659,0.31320103537532357,1.2504848652184735,0.0010570824524312897,1.0123476823522157,3.422680412371134,178.79741694621734
浜松市,浜松駅周辺,drive,0.004528962308447517,0.0010410045633041701,0.2761904761904762,1.217764359153942,0.000942507068803016,1.0177967649245876,3.235036496350365,192.83253234025165
